Date,MonthsAgo,Region,Country,OneYr,TwoYr,ThreeYr,FourYr,FiveYear,TenYr
02/29/2012,-121,Americas,CA,1.06,1.1,1.22,1.34,1.45,2.1
02/29/2012,-121,Americas,CL,,,,,,
02/29/2012,-121,Americas,CO,,,,,,
02/29/2012,-121,Americas,MX,4.65,4.76,5,5.2,5.41,6.28
02/29/2012,-121,Americas,PE,3.81,3.88,4.04,4.35,4.66,5.71
02/29/2012,-121,Americas,US,0.22,0.3,0.44,0.65,0.9,1.99
02/29/2012,-121,Asia,AU,3.83,3.64,3.59,3.69,3.72,4.07
02/29/2012,-121,Asia,HK,0.21,0.24,0.35,0.48,0.63,1.33
02/29/2012,-121,Asia,ID,4.39,5.01,5.01,5.08,5.22,5.8
02/29/2012,-121,Asia,IN,8.49,8.28,8.16,8.18,8.26,8.34
02/29/2012,-121,Asia,JP,,,,0.24,0.33,0.92
02/29/2012,-121,Asia,MY,2.89,2.91,3.02,3.13,3.24,3.56
02/29/2012,-121,Asia,NZ,2.66,2.86,3.08,3.31,3.53,4.23
02/29/2012,-121,Asia,SG,0.21,0.2,0.3,0.45,0.66,1.63
02/29/2012,-121,Asia,TH,3.16,3.21,3.3,3.39,3.47,3.69
02/29/2012,-121,Europe,AT,0.54,0.79,1.12,1.48,1.84,2.98
02/29/2012,-121,Europe,BE,0.85,1.29,1.7,2.1,2.47,3.61
02/29/2012,-121,Europe,CH,0.08,0.06,0.08,0.13,0.21,0.73
02/29/2012,-121,Europe,CN,3.01,3.01,3.11,3.24,3.36,3.65
02/29/2012,-121,Europe,CZ,1.2,1.61,1.87,2.12,2.38,3.3
02/29/2012,-121,Europe,DE,0.16,0.21,0.37,0.6,0.85,1.86
02/29/2012,-121,Europe,ES,1.56,2.08,2.6,3.09,3.53,4.92
02/29/2012,-121,Europe,FI,0.28,0.43,0.69,1.01,1.34,2.42
02/29/2012,-121,Europe,FR,0.42,0.69,1.05,1.45,1.84,2.97
02/29/2012,-121,Europe,GB,0.43,0.45,0.58,0.77,0.99,2.16
02/29/2012,-121,Europe,HU,7.78,7.73,7.87,8.05,8.19,8.42
02/29/2012,-121,Europe,IE,5.44,5.25,5.22,5.32,5.67,6.91
02/29/2012,-121,Europe,IT,1.77,2.39,2.93,3.43,3.87,5.2
02/29/2012,-121,Europe,NL,0.25,0.41,0.66,0.96,1.26,2.3
02/29/2012,-121,Europe,NO,1.54,1.48,1.67,1.79,1.94,2.42
02/29/2012,-121,Europe,PL,4.56,4.58,4.67,4.77,4.89,5.42
02/29/2012,-121,Europe,PT,14.23,14.52,15.25,15.77,16.02,14.53
02/29/2012,-121,Europe,RO,5.98,6.39,6.64,6.81,6.93,6.87
02/29/2012,-121,Europe,RU,6.29,6.67,6.91,7.19,7.35,7.93
02/29/2012,-121,Europe,SE,1.09,1.02,1.1,1.23,1.37,1.92
02/29/2012,-121,Europe,SK,1.96,2.27,2.67,3.13,3.53,4.63
02/29/2012,-121,Europe,TR,2.85,3.19,3.58,4.02,4.45,5.67
02/29/2012,-121,Europe,TR,9.32,9.14,9.14,9.07,9.11,9.35
03/01/2013,-91,Americas,CA,0.98,0.98,1.09,1.21,1.33,1.92
03/01/2013,-91,Americas,CL,5.52,5.42,5.4,5.44,5.51,5.82
03/01/2013,-91,Americas,CO,4.01,4.1,4.25,4.36,4.48,4.91
03/01/2013,-91,Americas,MX,4.12,4.2,4.32,4.43,4.53,4.99
03/01/2013,-91,Americas,PE,1.28,1.52,1.87,2.28,2.72,4.15
03/01/2013,-91,Americas,US,0.19,0.24,0.35,0.53,0.76,1.86
03/01/2013,-91,Asia,AU,2.67,2.63,2.7,2.82,2.91,3.36
03/01/2013,-91,Asia,HK,0.17,0.21,0.29,0.41,0.56,1.19
03/01/2013,-91,Asia,ID,4.21,4.26,4.51,4.68,4.88,5.48
03/01/2013,-91,Asia,IN,7.92,7.76,7.79,7.85,7.89,8.01
03/01/2013,-91,Asia,JP,0.05,0.05,0.06,0.1,0.16,0.62
03/01/2013,-91,Asia,MY,2.96,2.99,3.08,3.16,3.26,3.61
03/01/2013,-91,Asia,NZ,2.45,2.64,2.83,3,3.15,3.75
03/01/2013,-91,Asia,SG,0.19,0.18,0.24,0.38,0.58,1.69
03/01/2013,-91,Asia,TH,2.76,2.86,3,3.13,3.25,3.71
03/01/2013,-91,Europe,AT,0.08,0.17,0.34,0.54,0.77,1.83
03/01/2013,-91,Europe,BE,0.15,0.29,0.5,0.73,1,2.24
03/01/2013,-91,Europe,CH,0,-0.03,-0.02,0.04,0.14,0.69
03/01/2013,-91,Europe,CN,2.92,3.02,3.18,3.31,3.44,3.7
03/01/2013,-91,Europe,CZ,0.24,0.49,0.74,1,1.24,2.13
03/01/2013,-91,Europe,DE,-0.02,0.02,0.11,0.25,0.43,1.37
03/01/2013,-91,Europe,ES,1.77,2.39,2.89,3.33,3.72,5.02
03/01/2013,-91,Europe,FI,0.07,0.14,0.28,0.47,0.69,1.7
03/01/2013,-91,Europe,FR,0.1,0.21,0.41,0.65,0.88,2.13
03/01/2013,-91,Europe,GB,0.21,0.26,0.39,0.59,0.83,1.92
03/01/2013,-91,Europe,HU,4.95,4.87,5.03,5.21,5.38,6.17
03/01/2013,-91,Europe,IE,0.96,1.4,1.91,2.43,2.93,4.25
03/01/2013,-91,Europe,IT,1.61,2.23,2.72,3.14,3.51,4.66
03/01/2013,-91,Europe,NL,0.09,0.18,0.34,0.55,0.78,1.83
03/01/2013,-91,Europe,NO,1.55,1.49,1.57,1.65,1.77,2.36
03/01/2013,-91,Europe,PL,3.41,3.48,3.51,3.56,3.62,3.95
03/01/2013,-91,Europe,PT,2.65,3.53,4.21,4.77,5.25,6.33
03/01/2013,-91,Europe,RO,5.6,5.57,5.54,5.53,5.55,5.68
